_cid,player_name,key_mlbam,year,position,guarantee_total_real_2025,term_start_year,ISI_lb3_lamdba_35,isi_D_days_lb3_lamdba_35,isi_N_stints_lb3_lamdba_35,recency_weighted_days_lb3_lamdba_35,recency_weighted_days_rate_lb3_lamdba_35,durability_days_rate_lb3_lamdba_35,injury_burden_lb3_lamdba_35,any_surgery_flag_lb3_lamdba_35,any_structural_flag_lb3_lamdba_35,any_tier3_plus_flag_lb3_lamdba_35,arm_days_lb3_lamdba_35,arm_share_days_lb3_lamdba_35,isi_window_seasons_avail_lb3_lamdba_35,isi_full_window_flag_lb3_lamdba_35,ISI_lb3_lamdba_5,isi_D_days_lb3_lamdba_5,isi_N_stints_lb3_lamdba_5,recency_weighted_days_lb3_lamdba_5,recency_weighted_days_rate_lb3_lamdba_5,durability_days_rate_lb3_lamdba_5,injury_burden_lb3_lamdba_5,any_surgery_flag_lb3_lamdba_5,any_structural_flag_lb3_lamdba_5,any_tier3_plus_flag_lb3_lamdba_5,arm_days_lb3_lamdba_5,arm_share_days_lb3_lamdba_5,isi_window_seasons_avail_lb3_lamdba_5,isi_full_window_flag_lb3_lamdba_5,ISI_lb3_lamdba_7,isi_D_days_lb3_lamdba_7,isi_N_stints_lb3_lamdba_7,recency_weighted_days_lb3_lamdba_7,recency_weighted_days_rate_lb3_lamdba_7,durability_days_rate_lb3_lamdba_7,injury_burden_lb3_lamdba_7,any_surgery_flag_lb3_lamdba_7,any_structural_flag_lb3_lamdba_7,any_tier3_plus_flag_lb3_lamdba_7,arm_days_lb3_lamdba_7,arm_share_days_lb3_lamdba_7,isi_window_seasons_avail_lb3_lamdba_7,isi_full_window_flag_lb3_lamdba_7,ISI_lb5_lamdba_35,isi_D_days_lb5_lamdba_35,isi_N_stints_lb5_lamdba_35,recency_weighted_days_lb5_lamdba_35,recency_weighted_days_rate_lb5_lamdba_35,durability_days_rate_lb5_lamdba_35,injury_burden_lb5_lamdba_35,any_surgery_flag_lb5_lamdba_35,any_structural_flag_lb5_lamdba_35,any_tier3_plus_flag_lb5_lamdba_35,arm_days_lb5_lamdba_35,arm_share_days_lb5_lamdba_35,isi_window_seasons_avail_lb5_lamdba_35,isi_full_window_flag_lb5_lamdba_35,ISI_lb5_lamdba_5,isi_D_days_lb5_lamdba_5,isi_N_stints_lb5_lamdba_5,recency_weighted_days_lb5_lamdba_5,recency_weighted_days_rate_lb5_lamdba_5,durability_days_rate_lb5_lamdba_5,injury_burden_lb5_lamdba_5,any_surgery_flag_lb5_lamdba_5,any_structural_flag_lb5_lamdba_5,any_tier3_plus_flag_lb5_lamdba_5,arm_days_lb5_lamdba_5,arm_share_days_lb5_lamdba_5,isi_window_seasons_avail_lb5_lamdba_5,isi_full_window_flag_lb5_lamdba_5,ISI_lb5_lamdba_7,isi_D_days_lb5_lamdba_7,isi_N_stints_lb5_lamdba_7,recency_weighted_days_lb5_lamdba_7,recency_weighted_days_rate_lb5_lamdba_7,durability_days_rate_lb5_lamdba_7,injury_burden_lb5_lamdba_7,any_surgery_flag_lb5_lamdba_7,any_structural_flag_lb5_lamdba_7,any_tier_3plus_flag_lb5_lamdba_7,arm_days_lb5_lamdba_7,arm_share_days_lb5_lamdba_7,isi_window_seasons_avail_lb5_lamdba_7,isi_full_window_flag_lb5_lamdba_7
10,"Davies, Zach",605200,2023,rhp-s,5276875.66,2023,0.091598496,37,1,34.35797923,0.013931469,0.033789954,0.013835318,0,1,0,37,1,3,TRUE,0.09059165,37,1,27.43540366,0.011124504,0.033789954,0.011063081,0,1,0,37,1,3,TRUE,0.089557434,37,1,20.32464692,0.008241235,0.033789954,0.008207461,0,1,0,37,1,3,TRUE,0.08386558,37,1,34.35797923,0.008358881,0.020273973,0.008324139,0,1,0,37,1,3,FALSE,0.083261473,37,1,27.43540366,0.006674702,0.020273973,0.006652525,0,1,0,37,1,3,FALSE,0.082640943,37,1,20.32464692,0.004944741,0.020273973,0.004932556,0,1,0,37,1,3,FALSE
11,"Kennedy, Ian",800681,2022,rhp,5219955.661,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
12,"Longoria, Evan",446334,2023,3b,4221500.528,2023,0.316050315,191,8,108.0871121,0.043827147,0.174429224,0.042893908,1,1,1,70,0.366492147,3,TRUE,0.310623161,191,8,79.82520276,0.032367512,0.174429224,0.03185472,1,1,1,70,0.366492147,3,TRUE,0.305710609,191,8,53.9877407,0.021890941,0.174429224,0.021654775,1,1,1,70,0.366492147,3,TRUE,0.281261571,191,8,108.0871121,0.026296288,0.104657534,0.025956485,1,1,1,70,0.366492147,3,FALSE,0.278005278,191,8,79.82520276,0.019420507,0.104657534,0.019234336,1,1,1,70,0.366492147,3,FALSE,0.275057747,191,8,53.9877407,0.013134565,0.104657534,0.013049054,1,1,1,70,0.366492147,3,FALSE
13,"Castro, Miguel",,2023,rhp,3693812.962,2023,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE
14,"Soria, Joakim",465657,2021,rhp,4153702.823,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
15,"Rondon, Hector",444468,2020,rhp,3726908.133,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
16,"Vogt, Stephen",519390,2020,c-1b,3726908.133,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
17,"Clippard, Tyler",461325,2021,rhp,2670237.529,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
18,"Grichuk, Randal",545341,2024,cf,2050235.392,2024,0.115260724,81,1,79.14043582,0.032089853,0.073972603,0.03158573,1,1,1,0,0,3,TRUE,0.113056547,81,1,63.19492156,0.025624268,0.073972603,0.025301469,1,1,1,0,0,3,TRUE,0.110792453,81,1,46.81594935,0.018982924,0.073972603,0.018804997,1,1,1,0,0,3,TRUE,0.098062917,81,1,79.14043582,0.019253912,0.044383562,0.0190709,1,1,1,0,0,4,FALSE,0.096740411,81,1,63.19492156,0.015374561,0.044383562,0.01525757,1,1,1,0,0,4,FALSE,0.095381954,81,1,46.81594935,0.011389755,0.044383562,0.01132538,1,1,1,0,0,4,FALSE
19,"Davies, Zach",605200,2022,rhp-s,1923141.56,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
20,"Cabrera, Asdrubal",452678,2021,3b,2076851.411,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
21,"Graveman, Kendall",608665,2025,rhp,1350000,2025,0.225484155,273,1,315.2294127,0.127819177,0.249315068,0.120285836,1,1,1,273,1,3,TRUE,0.218055263,273,1,251.7157987,0.102065686,0.249315068,0.097186315,1,1,1,273,1,3,TRUE,0.210424427,273,1,186.4756501,0.07561212,0.249315068,0.072889914,1,1,1,273,1,3,TRUE,0.247294064,322,3,323.5388289,0.078713087,0.176438356,0.075768744,1,1,1,273,0.847826087,5,TRUE,0.242235497,322,3,255.6362198,0.062193203,0.176438356,0.06033583,1,1,1,273,0.847826087,5,TRUE,0.237318935,322,3,187.9282326,0.045720668,0.176438356,0.044706282,1,1,1,273,0.847826087,5,TRUE
22,"Hampson, Garrett",641658,2025,2b-of,,2025,0.123730447,22,2,7.803673309,0.003164232,0.020091324,0.003159237,0,1,0,0,0,3,TRUE,0.123127789,22,2,4.616304808,0.001871819,0.020091324,0.001870069,0,1,0,0,0,3,TRUE,0.12268839,22,2,2.292389125,0.000929518,0.020091324,0.000929086,0,1,0,0,0,3,TRUE,0.120053959,22,2,7.803673309,0.001898539,0.012054795,0.001896739,0,1,0,0,0,5,TRUE,0.119692364,22,2,4.616304808,0.001123091,0.012054795,0.001122461,0,1,0,0,0,5,TRUE,0.119428725,22,2,2.292389125,0.000557711,0.012054795,0.000557555,0,1,0,0,0,5,TRUE
23,"McGough, Scott",543518,2025,rhp,,2025,0.072266207,0,1,0,0,0,0,0,1,0,0,0,3,TRUE,0.072266207,0,1,0,0,0,0,0,1,0,0,0,3,TRUE,0.072266207,0,1,0,0,0,0,0,1,0,0,0,3,TRUE,0.072266207,0,1,0,0,0,0,0,1,0,0,0,5,TRUE,0.072266207,0,1,0,0,0,0,0,1,0,0,0,5,TRUE,0.072266207,0,1,0,0,0,0,0,1,0,0,0,5,TRUE
24,"Andrus, Elvis",462101,2024,2b,,2024,0.124298742,21,2,12.42266265,0.005037139,0.019178082,0.005024496,0,1,0,0,0,3,TRUE,0.123727288,21,2,9.919697608,0.004022238,0.019178082,0.00401417,0,1,0,0,0,3,TRUE,0.123140301,21,2,7.348692731,0.002979747,0.019178082,0.002975316,0,1,0,0,0,3,TRUE,0.180852322,52,4,19.4816202,0.004739643,0.028493151,0.004728446,0,1,0,0,0,4,FALSE,0.180077962,52,4,13.51381117,0.003287747,0.028493151,0.003282354,0,1,0,0,0,4,FALSE,0.179460159,52,4,8.809950258,0.002143354,0.028493151,0.002141061,0,1,0,0,0,4,FALSE
25,"Kela, Keone",605309,2022,rhp,,2022,0.209687157,92,4,51.09285774,0.020717125,0.084018265,0.020505444,1,1,1,49,0.532608696,2,FALSE,0.206977109,92,4,36.25170475,0.014699336,0.084018265,0.014592348,1,1,1,49,0.532608696,2,FALSE,0.20458489,92,4,23.08308304,0.009359725,0.084018265,0.009316194,1,1,1,49,0.532608696,2,FALSE,0.192931068,92,4,51.09285774,0.012430275,0.050410959,0.012353653,1,1,1,49,0.532608696,2,FALSE,0.191305039,92,4,36.25170475,0.008819602,0.050410959,0.008780936,1,1,1,49,0.532608696,2,FALSE,0.189869708,92,4,23.08308304,0.005615835,0.050410959,0.005600125,1,1,1,49,0.532608696,2,FALSE
26,"Holaday, Bryan",592407,2021,c,,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
27,"Reddick, Josh",502210,2021,rf,,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
28,"Jackson, Edwin",429719,2020,rhp-s,,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
29,"Jay, Jon",445055,2020,cf,,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
30,"Ozuna, Marcell",542303,2021,lf,77140195.28,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
31,"Profar, Jurickson",595777,2025,lf,42000000,2025,0.075561838,8,1,2.702570843,0.001095838,0.007305936,0.001095238,0,0,0,0,0,3,TRUE,0.07534269,8,1,1.59872028,0.000648249,0.007305936,0.000648039,0,0,0,0,0,3,TRUE,0.075182908,8,1,0.793900996,0.000321911,0.007305936,0.000321859,0,0,0,0,0,3,TRUE,0.151033102,28,3,6.842721897,0.001664752,0.015342466,0.001663367,0,0,0,0,0,5,TRUE,0.150623234,28,3,3.706704771,0.000901796,0.015342466,0.00090139,0,0,0,0,0,5,TRUE,0.150356003,28,3,1.650943533,0.000401655,0.015342466,0.000401574,0,0,0,0,0,5,TRUE
32,"Smith, Will",,2020,lhp,49692108.44,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
33,"López, Reynaldo",625643,2024,rhp,30753530.88,2024,0.079661061,17,1,7.795319768,0.003160845,0.015525114,0.00315586,0,0,0,0,0,3,TRUE,0.079155108,17,1,5.357639701,0.002172415,0.015525114,0.002170059,0,0,0,0,0,3,TRUE,0.078717569,17,1,3.249572743,0.001317636,0.015525114,0.001316769,0,0,0,0,0,3,TRUE,0.125575266,44,2,15.06128487,0.003664229,0.024109589,0.003657532,0,0,0,27,0.613636364,4,FALSE,0.124895883,44,2,9.057152483,0.002203496,0.024109589,0.002201072,0,0,0,27,0.613636364,4,FALSE,0.12440202,44,2,4.753682396,0.001156513,0.024109589,0.001155845,0,0,0,27,0.613636364,4,FALSE
34,"Rosario, Eddie",592696,2022,lf,19780884.61,2022,0.096897361,53,1,31.35243431,0.012712781,0.048401826,0.012632652,0,0,0,0,0,2,FALSE,0.095455122,53,1,25.0354273,0.010151361,0.048401826,0.010100182,0,0,0,0,0,2,FALSE,0.093973678,53,1,18.5467007,0.007520314,0.048401826,0.007492177,0,0,0,0,0,2,FALSE,0.087044899,53,1,31.35243431,0.007627668,0.029041096,0.007598725,0,0,0,0,0,2,FALSE,0.086179556,53,1,25.0354273,0.006090817,0.029041096,0.006072343,0,0,0,0,0,2,FALSE,0.085290689,53,1,18.5467007,0.004512188,0.029041096,0.004502039,0,0,0,0,0,2,FALSE
35,"Hamels, Cole",430935,2020,lhp-s,22361448.8,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
36,"Ozuna, Marcell",542303,2020,lf,22361448.8,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
37,"Jansen, Kenley",445276,2022,rhp-c,17583008.54,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
38,"Morton, Charlie",119424,2021,rhp-s,17801583.53,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
39,"Martin, Chris",,2020,rhp,17392237.95,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
